iter	Logloss
0	0.682177631
1	0.6723248184
2	0.6636831266
3	0.6547207196
4	0.6456837126
5	0.6383062477
6	0.6311654918
7	0.6239277095
8	0.618145622
9	0.6122429049
10	0.6067280049
11	0.6012716924
12	0.5961281714
13	0.5917978365
14	0.5870544247
15	0.5832267616
16	0.5790010252
17	0.5757246401
18	0.5689976529
19	0.5660069522
20	0.560004618
21	0.5544713153
22	0.5494619169
23	0.5443054249
24	0.5427224234
25	0.540673954
26	0.5363716099
27	0.5348572069
28	0.5309239365
29	0.5293213411
30	0.5255115915
31	0.5222324228
32	0.5189422731
33	0.5159261307
34	0.5133211722
35	0.510697652
36	0.5079088208
37	0.5070407893
38	0.50513963
39	0.5034705853
40	0.5017776959
41	0.4993571204
42	0.4971016207
43	0.4949634734
44	0.4943280209
45	0.4922200602
46	0.4917517618
47	0.4901924378
48	0.4884735926
49	0.4874166059
50	0.4860519555
51	0.484649057
52	0.4833216808
53	0.4822159495
54	0.4809212127
55	0.4797190102
56	0.4786888143
57	0.4780068166
58	0.4768316933
59	0.4759083374
60	0.4750722153
61	0.4741569537
62	0.4730473744
63	0.4722267442
64	0.4714583456
65	0.4705876894
66	0.4699036415
67	0.4692335137
68	0.4686099598
69	0.4678300248
70	0.4672375553
71	0.4665512706
72	0.4660685257
73	0.4654113675
74	0.4648373155
75	0.4642632896
76	0.4637058053
77	0.4631009361
78	0.4626000571
79	0.4620992143
80	0.4616958392
81	0.4612298485
82	0.460887294
83	0.4605218952
84	0.4603099639
85	0.4600014448
86	0.4596599086
87	0.4593246061
88	0.4590041922
89	0.4586550685
90	0.4583146312
91	0.4580114861
92	0.4577693648
93	0.457491244
94	0.4572920638
95	0.457041337
96	0.4568134704
97	0.4566141594
98	0.4563734202
99	0.4561263396
100	0.4559755802
101	0.4558007427
102	0.4556116789
103	0.4554745184
104	0.4551761893
105	0.4549977073
106	0.4547803602
107	0.4545649583
108	0.4544174445
109	0.4542666999
110	0.4541295538
111	0.4539800672
112	0.453861521
113	0.453753423
114	0.4535751295
115	0.4534069011
116	0.4532867694
117	0.4531824444
118	0.4530676297
119	0.4529693643
120	0.4528466181
121	0.4527821735
122	0.4526331715
123	0.4525197401
124	0.4524494928
125	0.452326787
126	0.4522312809
127	0.4521045222
128	0.4520038535
129	0.451899514
130	0.4518320803
131	0.451641133
132	0.4516081094
133	0.4514226725
134	0.4513036493
135	0.4512289761
136	0.4511718658
137	0.4511253585
138	0.4510279595
139	0.4509910961
140	0.4509283997
141	0.4508800462
142	0.4507908384
143	0.4507622315
144	0.4506817782
145	0.4506142683
146	0.4505564796
147	0.4505066386
148	0.4504741188
149	0.4504196723
150	0.4503624411
151	0.4503072501
152	0.450217124
153	0.4501760583
154	0.4501042747
155	0.450060735
156	0.4499959885
157	0.4499308456
158	0.4498665831
159	0.4498067994
160	0.4496427079
161	0.4496153198
162	0.4495670663
163	0.4494815771
164	0.4494225022
165	0.4493746664
166	0.4492774956
167	0.4492274164
168	0.4491846032
169	0.4491516877
170	0.449022971
171	0.4489611642
172	0.4489349048
173	0.4488272681
174	0.4487618158
175	0.4487196477
176	0.4486995898
177	0.4485746119
178	0.4485259729
179	0.448476967
180	0.4484462364
181	0.4483745232
182	0.448366269
183	0.448319481
184	0.4482969793
185	0.4482357341
186	0.4481000491
187	0.4479836922
188	0.447953347
189	0.4478929641
190	0.447875023
191	0.4478170574
192	0.4477839984
193	0.4476866093
194	0.4475978727
195	0.447565078
196	0.4475085703
197	0.4474961316
198	0.4474949452
199	0.4474277891
200	0.4473886915
201	0.4473477132
202	0.4473124861
203	0.4472714443
204	0.4472675117
205	0.4472248598
206	0.4471505287
207	0.4471357356
208	0.4470789684
209	0.4470076014
210	0.4469676388
211	0.4469365548
212	0.4469001029
213	0.4468184465
214	0.4467068376
215	0.4466666098
216	0.4466266139
217	0.4465818357
218	0.446536678
219	0.4465092749
220	0.4464035052
221	0.4463827445
222	0.4463414006
223	0.4462913311
224	0.4462745461
225	0.4462162941
226	0.4461980398
227	0.446172163
228	0.4461343418
229	0.4461185813
230	0.4460914884
231	0.4460526431
232	0.4460115058
233	0.445977805
234	0.4459231503
235	0.4458714816
236	0.4458435395
237	0.4458084285
238	0.4457943854
239	0.4457731151
240	0.4457470526
241	0.4457276086
242	0.4456605482
243	0.4455960817
244	0.445545771
245	0.4455024826
246	0.4454591498
247	0.445396279
248	0.4453317458
249	0.4453211866
250	0.4452451297
251	0.4451782299
252	0.4451535177
253	0.4450783855
254	0.4450463447
255	0.4450074484
256	0.4449856346
257	0.4449674618
258	0.4449165218
259	0.4448834339
260	0.4448609866
261	0.444824029
262	0.444808285
263	0.4447664318
264	0.4446823291
265	0.4446569282
266	0.4446175652
267	0.4445842933
268	0.4445569439
269	0.4445442446
270	0.4445162111
271	0.4445026433
272	0.4444319985
273	0.4444205256
274	0.4443763359
275	0.444354897
276	0.4443325496
277	0.4442889008
278	0.4442569963
279	0.4441892989
280	0.44417418
281	0.4441541428
282	0.444114659
283	0.4440735183
284	0.4440394203
285	0.4439962931
286	0.443941473
287	0.4439278737
288	0.4439078292
289	0.4438264572
290	0.443789652
291	0.4437388544
292	0.4436937891
293	0.4436567014
294	0.4436229216
295	0.4435916551
296	0.4435004083
297	0.4434787244
298	0.4434509865
299	0.4434275577
300	0.443405357
301	0.4433811472
302	0.4433596256
303	0.4433280296
304	0.4433183968
305	0.4433177491
306	0.4432716952
307	0.4432385297
308	0.4432063902
309	0.4431686557
310	0.4430945887
311	0.4430366987
312	0.4430132716
313	0.4429479633
314	0.442907651
315	0.4428793245
316	0.4428565057
317	0.4428285422
318	0.4428179085
319	0.4427925844
320	0.4427549852
321	0.4427239559
322	0.4427157933
323	0.4426392669
324	0.4426216646
325	0.442565715
326	0.4425088015
327	0.4423997825
