iter	Passed	Remaining
0	610	6104072
1	1046	5231619
2	1440	4798807
3	1655	4136521
4	1844	3686487
5	2077	3459924
6	2276	3250296
7	2430	3035692
8	2507	2783200
9	2696	2693986
10	2831	2571209
11	2937	2444995
12	3091	2375199
13	3238	2310266
14	3422	2278436
15	3527	2201414
16	3619	2125477
17	3777	2095016
18	3934	2066682
19	4035	2013959
20	4112	1954061
21	4259	1931753
22	4315	1872197
23	4495	1868712
24	4540	1811544
25	4632	1776985
26	4699	1735764
27	4784	1704135
28	4879	1677645
29	4930	1638496
30	5006	1610056
31	5088	1584963
32	5157	1557864
33	5227	1532379
34	5286	1505052
35	5336	1477002
36	5424	1460773
37	5531	1450060
38	5679	1450659
39	5783	1440154
40	5895	1431962
41	5993	1420982
42	6111	1415250
43	6181	1398756
44	6284	1390228
45	6356	1375521
46	6454	1366837
47	6559	1360105
48	6668	1354244
49	6840	1361249
50	6971	1360032
51	7050	1348737
52	7125	1337250
53	7226	1331028
54	7375	1333564
55	7492	1330407
56	7594	1324842
57	7712	1322057
58	7833	1319889
59	7909	1310352
60	7989	1301687
61	8058	1291759
62	8144	1284652
63	8214	1275338
64	8291	1267312
65	8364	1258914
66	8436	1250795
67	8511	1243210
68	8602	1238068
69	8699	1234071
70	8786	1228731
71	8855	1221050
72	8932	1214689
73	9012	1208898
74	9086	1202506
75	9167	1197094
76	9238	1190517
77	9312	1184628
78	9383	1178385
79	9462	1173334
80	9531	1167239
81	9611	1162566
82	9702	1159310
83	9839	1161521
84	9882	1152730
85	9951	1147148
86	10019	1141597
87	10092	1136774
88	10182	1133929
89	10251	1128828
90	10322	1124045
91	10395	1119528
92	10466	1114996
93	10553	1112130
94	10646	1110035
95	10741	1108135
96	10829	1105633
97	10898	1101210
98	10966	1096730
99	11037	1092745
100	11106	1088516
101	11174	1084375
102	11255	1081536
103	11335	1078612
104	11406	1074882
105	11482	1071783
106	11551	1067991
107	11626	1064911
108	11706	1062244
109	11797	1060729
110	11942	1063958
111	12011	1060441
112	12084	1057360
113	12164	1054935
114	12294	1056792
115	12405	1057020
116	12497	1055674
117	12569	1052613
118	12666	1051767
119	12746	1049443
120	12840	1048319
121	12946	1048273
122	13035	1046721
123	13105	1043785
124	13205	1043235
125	13274	1040294
126	13485	1048343
127	13559	1045785
128	13628	1042806
129	13697	1039962
130	13778	1038026
131	13879	1037614
132	13994	1038220
133	14092	1037587
134	14163	1034954
135	14283	1036009
136	14351	1033235
137	14424	1030833
138	14503	1028901
139	14591	1027641
140	14668	1025640
141	14791	1026847
142	14881	1025771
143	14996	1026436
144	15146	1029441
145	15243	1028832
146	15330	1027536
147	15450	1028475
148	15516	1025842
149	15614	1025367
150	15715	1025015
151	15801	1023776
152	15873	1021618
153	15941	1019241
154	16036	1018561
155	16156	1019498
156	16255	1019112
157	16361	1019160
158	16456	1018540
159	16546	1017626
160	16668	1018619
161	16794	1019903
162	16867	1017942
163	16944	1016260
164	17030	1015101
165	17145	1015706
166	17313	1019400
167	17417	1019362
168	17500	1018043
169	17593	1017339
170	17680	1016290
171	17788	1016410
172	17880	1015677
173	17976	1015170
174	18060	1013969
175	18172	1014372
176	18287	1014877
177	18377	1014061
178	18481	1013980
179	18553	1012203
180	18641	1011263
181	18765	1012312
182	18868	1012189
183	18968	1011951
184	19057	1011051
185	19182	1012126
186	19281	1011810
187	19362	1010559
188	19438	1009077
189	19514	1007565
190	19599	1006533
191	19673	1004980
192	19825	1007425
193	19921	1006949
194	19992	1005249
195	20062	1003518
196	20173	1003879
197	20303	1005131
198	20339	1001725
199	20451	1002114
200	20531	1000920
201	20614	999929
202	20735	1000733
203	20852	1001324
204	20951	1001088
205	21035	1000084
206	21120	999211
207	21219	998956
208	21320	998784
209	21442	999650
210	21529	998848
211	21628	998575
212	21731	998544
213	21879	1000521
214	21961	999493
215	22122	1002055
216	22227	1002059
217	22314	1001268
218	22466	1003412
219	22556	1002748
220	22634	1001569
221	22742	1001699
222	22836	1001235
223	22939	1001166
224	23031	1000573
225	23104	999235
226	23186	998242
227	23296	998481
228	23437	1000054
229	23597	1002374
230	23725	1003338
231	23839	1003711
232	23970	1004789
233	24055	1003952
234	24142	1003198
235	24231	1002518
236	24333	1002383
237	24464	1003438
238	24555	1002867
239	24692	1004142
240	24780	1003461
241	24854	1002198
242	24925	1000807
243	25023	1000532
244	25101	999452
245	25201	999244
246	25291	998652
247	25384	998202
248	25484	997975
249	25571	997298
250	25703	998348
251	25788	997558
252	25895	997655
253	26008	997932
254	26105	997627
255	26185	996696
256	26276	996148
257	26358	995283
258	26459	995142
259	26543	994357
260	26650	994456
261	26779	995336
262	26878	995121
263	26956	994113
264	27027	992878
265	27111	992100
266	27228	992547
267	27401	995043
268	27528	995821
269	27697	998129
270	27828	999046
271	27938	999208
272	28042	999166
273	28125	998348
274	28230	998339
275	28334	998266
276	28427	997839
277	28500	996680
278	28602	996570
279	28742	997776
280	28865	998374
281	28954	997813
282	29046	997324
283	29136	996790
284	29261	997441
285	29338	996478
286	29449	996674
287	29539	996130
288	29619	995261
289	29752	996199
290	29851	995974
291	29995	997253
292	30088	996819
293	30173	996140
294	30252	995249
295	30367	995565
296	30471	995501
297	30571	995312
298	30649	994402
299	30763	994680
300	30885	995226
301	30996	995387
302	31112	995698
303	31207	995368
304	31301	994982
305	31362	993549
306	31474	993765
307	31570	993442
308	31686	993770
309	31832	995020
310	31969	995996
311	32062	995586
312	32138	994640
313	32235	994384
314	32316	993596
315	32437	994056
316	32562	994647
317	32653	994179
318	32793	995208
319	32942	996510
320	33082	997514
321	33207	998078
322	33300	997683
323	33420	998081
324	33546	998649
325	33667	999085
326	33799	999833
327	33919	1000224
328	34034	1000451
329	34152	1000772
330	34245	1000365
331	34340	1000014
332	34438	999755
333	34575	1000626
334	34685	1000709
335	34772	1000136
336	34864	999699
337	34953	999186
338	35051	998918
339	35171	999273
340	35320	1000471
341	35433	1000645
342	35555	1001044
343	35701	1002129
344	35821	1002469
345	35939	1002776
346	36095	1004112
347	36194	1003876
348	36332	1004714
349	36475	1005691
350	36604	1006263
351	36723	1006561
352	36837	1006720
353	36954	1006966
354	37056	1006784
355	37174	1007042
356	37326	1008221
357	37431	1008149
358	37535	1008023
359	37655	1008321
360	37770	1008498
361	37869	1008239
362	37936	1007157
363	38011	1006266
364	38103	1005816
365	38201	1005561
366	38309	1005550
367	38455	1006534
368	38558	1006389
369	38648	1005916
370	38812	1007338
371	38932	1007627
372	39039	1007594
373	39132	1007192
374	39214	1006510
375	39320	1006439
376	39428	1006424
377	39522	1006037
378	39610	1005516
379	39697	1004980
380	39784	1004432
381	39909	1004844
382	40029	1005124
383	40106	1004341
384	40178	1003421
385	40272	1003065
386	40365	1002681
387	40490	1003072
388	40589	1002835
389	40700	1002900
390	40841	1003691
391	40995	1004802
392	41108	1004916
393	41214	1004846
394	41315	1004647
395	41424	1004660
396	41531	1004613
397	41650	1004853
398	41765	1004996
399	41865	1004777
400	41969	1004658
401	42069	1004432
402	42170	1004245
403	42276	1004163
404	42367	1003742
405	42470	1003606
406	42601	1004124
407	42702	1003937
408	42822	1004172
409	42926	1004054
410	43022	1003758
411	43129	1003708
412	43240	1003738
413	43357	1003935
414	43468	1003965
415	43583	1004086
416	43747	1005343
417	43883	1005971
418	44012	1006398
419	44128	1006546
420	44262	1007113
421	44393	1007588
422	44476	1006977
423	44566	1006531
424	44682	1006669
425	44809	1007064
426	44912	1006911
427	45028	1007030
428	45138	1007035
429	45291	1008004
430	45425	1008520
431	45535	1008518
432	45637	1008350
433	45799	1009479
434	45995	1011374
435	46154	1012430
436	46323	1013706
437	46497	1015092
438	46654	1016087
439	46799	1016818
440	47056	1019985
441	47217	1021054
442	47340	1021289
443	47522	1022812
444	47642	1022979
445	47791	1023759
446	47894	1023570
447	48064	1024804
448	48228	1025893
449	48358	1026283
450	48539	1027732
451	48676	1028229
452	48814	1028778
453	48943	1029100
454	49130	1030658
455	49293	1031707
456	49408	1031749
457	49546	1032245
458	49753	1034200
459	49898	1034846
460	50012	1034860
461	50237	1037151
462	50389	1037936
463	50529	1038473
464	50667	1038956
465	50873	1040838
466	50997	1041020
467	51238	1043592
468	51457	1045726
469	51621	1046708
470	51768	1047343
471	51969	1049082
472	52112	1049627
473	52250	1050078
474	52405	1050863
475	52614	1052733
476	52774	1053617
477	52977	1055345
478	53144	1056349
479	53363	1058374
480	53593	1060616
481	53864	1063647
482	54124	1066467
483	54344	1068481
484	54561	1070411
485	54832	1073403
486	55030	1074964
487	55236	1076660
488	55416	1077847
489	55662	1080298
490	55839	1081421
491	56001	1082241
492	56126	1082340
493	56236	1082158
494	56401	1083017
495	56558	1083730
496	56707	1084283
497	56898	1085645
498	57126	1087686
499	57297	1088651
500	57531	1090811
501	57673	1091195
502	57801	1091334
503	57948	1091821
504	58124	1092855
505	58260	1093126
506	58410	1093664
507	58552	1094047
508	58734	1095191
509	58845	1094995
510	58978	1095200
511	59120	1095570
512	59335	1097295
513	59485	1097815
514	59616	1097977
515	59785	1098849
516	59909	1098890
517	60050	1099228
518	60220	1100090
519	60365	1100511
520	60501	1100754
521	60605	1100425
522	60753	1100888
523	60917	1101637
524	61041	1101646
525	61202	1102342
526	61365	1103057
527	61579	1104702
528	61736	1105297
529	61880	1105667
530	62052	1106536
531	62177	1106578
532	62334	1107162
533	62493	1107805
534	62671	1108758
535	62815	1109119
536	62955	1109401
537	63177	1111121
538	63317	1111401
539	63502	1112469
540	63749	1114613
541	63900	1115072
542	64043	1115402
543	64212	1116161
544	64332	1116078
545	64444	1115857
546	64553	1115591
547	64752	1116867
548	64940	1117952
549	65119	1118876
550	65317	1120113
551	65527	1121558
552	65688	1122172
553	65918	1123943
554	66116	1125174
555	66254	1125377
556	66451	1126580
557	66604	1127028
558	66759	1127502
559	66961	1128784
560	67084	1128716
561	67249	1129352
562	67403	1129811
563	67566	1130423
564	67688	1130336
565	67844	1130827
566	67994	1131200
567	68159	1131828
568	68329	1132532
569	68512	1133465
570	68703	1134503
571	68875	1135240
572	68983	1134924
573	69133	1135290
574	69290	1135764
575	69443	1136175
576	69585	1136395
577	69773	1137383
578	69884	1137093
579	70010	1137068
580	70197	1138026
581	70397	1139183
582	70517	1139042
583	70613	1138529
584	70945	1141792
585	71131	1142708
586	71295	1143280
587	71458	1143817
588	71636	1144596
589	71809	1145299
590	72047	1147025
591	72268	1148490
592	72478	1149763
593	72713	1151417
594	73029	1154361
595	73286	1156355
596	73470	1157185
597	73623	1157538
598	73784	1158007
599	74067	1160395
600	74221	1160739
601	74510	1163201
602	74668	1163616
603	74887	1164978
604	75156	1167092
605	75339	1167894
606	75557	1169217
607	75839	1171526
608	76165	1174501
609	76365	1175521
610	76557	1176432
611	76778	1177776
612	76925	1177978
613	77070	1178156
614	77352	1180411
615	77524	1180993
616	77754	1182445
617	77975	1183766
618	78166	1184626
619	78336	1185159
620	78569	1186644
621	78828	1188506
622	79046	1189759
623	79203	1190080
624	79329	1189945
625	79532	1190958
626	79715	1191664
627	79854	1191711
628	80036	1192400
629	80187	1192633
630	80321	1192602
631	80456	1192594
632	80614	1192922
633	80745	1192840
634	80882	1192855
635	81063	1193517
636	81283	1194752
637	81451	1195215
638	81558	1194785
639	81722	1195191
640	81909	1195928
641	82151	1197471
642	82349	1198351
643	82500	1198562
644	82666	1198987
645	82819	1199221
646	83028	1200255
647	83164	1200245
648	83315	1200432
649	83519	1201402
650	83671	1201601
651	83848	1202178
652	84045	1203028
653	84203	1203310
654	84358	1203552
655	84553	1204372
656	84801	1205935
657	84984	1206572
658	85143	1206869
659	85336	1207635
660	85473	1207616
661	85644	1208077
662	85846	1208979
663	85992	1209079
664	86171	1209642
665	86341	1210083
666	86523	1210679
667	86715	1211422
668	87046	1214099
669	87278	1215387
670	87417	1215379
671	87628	1216370
672	87776	1216480
673	87904	1216316
674	88105	1217164
675	88226	1216903
676	88351	1216690
677	88492	1216701
678	88689	1217481
679	88853	1217817
680	89013	1218089
681	89229	1219121
682	89403	1219579
683	89522	1219281
684	89718	1220034
685	89946	1221224
686	90133	1221857
687	90379	1223269
688	90525	1223335
689	90688	1223637
690	90932	1225017
691	91250	1227401
692	91468	1228423
693	91666	1229176
694	91858	1229849
695	92073	1230827
696	92288	1231789
697	92616	1234273
698	92920	1236408
699	93231	1238644
700	93416	1239199
701	93558	1239181
702	93795	1240422
703	93992	1241123
704	94137	1241152
705	94281	1241144
706	94430	1241224
707	94575	1241236
708	94703	1241033
709	94841	1240957
710	95086	1242278
711	95227	1242234
712	95367	1242184
713	95527	1242398
714	95745	1243355
715	95911	1243630
716	96230	1245895
717	96389	1246087
718	96515	1245838
719	96661	1245859
720	96837	1246259
721	97043	1247047
722	97177	1246914
723	97388	1247756
724	97533	1247749
725	97687	1247864
726	97824	1247766
727	98037	1248625
728	98176	1248547
729	98341	1248796
730	98531	1249373
731	98743	1250209
732	98922	1250638
733	99097	1251008
734	99299	1251714
735	99456	1251849
736	99650	1252455
737	99822	1252790
738	99938	1252415
739	100088	1252459
740	100283	1253066
741	100527	1254290
742	100638	1253855
743	100871	1254931
744	101012	1254861
745	101134	1254556
746	101227	1253897
747	101356	1253682
748	101536	1254089
749	101681	1254070
750	101903	1254998
751	102099	1255608
752	102271	1255912
753	102425	1256003
754	102621	1256598
755	102780	1256752
756	102911	1256547
757	103147	1257632
758	103311	1257836
759	103477	1258073
760	103651	1258387
761	103839	1258882
762	104018	1259265
763	104198	1259655
764	104389	1260184
765	104561	1260474
766	104697	1260332
767	104884	1260801
768	105049	1261007
769	105192	1260939
770	105405	1261726
771	105550	1261684
772	105695	1261647
773	105850	1261731
774	106055	1262402
775	106218	1262578
776	106381	1262752
777	106604	1263628
778	106745	1263545
779	106903	1263649
780	107068	1263841
781	107238	1264103
782	107404	1264298
783	107628	1265183
784	107830	1265801
785	107979	1265810
786	108176	1266370
787	108395	1267184
788	108543	1267161
789	108728	1267584
790	108907	1267931
791	109067	1268048
792	109223	1268121
793	109428	1268764
794	109658	1269695
795	109789	1269475
796	110000	1270182
797	110176	1270476
798	110286	1270022
799	110472	1270438
800	110618	1270388
801	110760	1270296
802	110907	1270252
803	111132	1271117
804	111304	1271363
805	111439	1271181
806	111613	1271450
807	111737	1271150
808	111899	1271286
809	112051	1271297
810	112267	1272042
811	112416	1272028
812	112579	1272166
813	112793	1272878
814	112994	1273439
815	113155	1273553
816	113347	1274016
817	113520	1274264
818	113701	1274589
819	113882	1274932
820	114073	1275369
821	114272	1275900
822	114507	1276836
823	114646	1276697
824	114818	1276915
825	114985	1277091
826	115175	1277513
827	115352	1277789
828	115591	1278756
829	115718	1278485
830	115890	1278702
831	116053	1278814
832	116211	1278887
833	116386	1279137
834	116519	1278918
835	116754	1279834
836	116899	1279744
837	117060	1279838
838	117245	1280194
839	117443	1280696
840	117605	1280795
841	117940	1282775
842	118131	1283191
843	118309	1283466
844	118501	1283884
845	118726	1284658
846	118951	1285430
847	119170	1286140
848	119323	1286136
849	119501	1286394
850	119728	1287186
851	119917	1287561
852	120073	1287582
853	120283	1288186
854	120412	1287920
855	120542	1287661
856	120696	1287664
857	120876	1287937
858	121008	1287701
859	121136	1287423
860	121295	1287477
861	121646	1289562
862	121870	1290303
863	122103	1291129
864	122291	1291479
865	122459	1291626
866	122625	1291734
867	122841	1292379
868	122992	1292344
869	123203	1292932
870	123367	1293019
871	123498	1292767
872	123673	1292977
873	123874	1293449
874	124021	1293365
875	124177	1293370
876	124359	1293646
877	124540	1293915
878	124708	1294048
879	124855	1293956
880	125087	1294748
881	125221	1294524
882	125368	1294435
883	125545	1294651
884	125740	1295051
885	125904	1295138
886	126084	1295387
887	126326	1296264
888	126500	1296448
889	126668	1296572
890	126888	1297223
891	127085	1297637
892	127280	1298033
893	127462	1298297
894	127605	1298154
895	127751	1298041
896	127960	1298574
897	128221	1299638
898	128458	1300444
899	128573	1300023
900	128693	1299645
901	128878	1299926
902	129092	1300501
903	129243	1300442
904	129394	1300377
905	129621	1301079
906	129777	1301069
907	129928	1300999
908	130122	1301364
909	130288	1301449
910	130454	1301533
911	130610	1301522
912	130860	1302443
913	130984	1302104
914	131107	1301765
915	131272	1301834
916	131461	1302143
917	131625	1302200
918	131794	1302315
919	131987	1302660
920	132111	1302320
921	132324	1302863
922	132489	1302930
923	132666	1303117
924	132813	1303007
925	133012	1303408
926	133182	1303518
927	133367	1303786
928	133507	1303606
929	133669	1303639
930	133817	1303532
931	133913	1302924
932	134053	1302744
933	134275	1303360
934	134416	1303189
935	134540	1302861
936	134697	1302840
937	134876	1303039
938	134993	1302639
939	135158	1302701
940	135390	1303406
941	135530	1303224
942	135667	1303008
943	135817	1302926
944	135996	1303120
945	136182	1303377
946	136367	1303627
947	136760	1305863
948	137134	1307903
949	137550	1310346
950	138180	1314824
951	138429	1315660
952	138713	1316833
953	138953	1317582
954	139247	1318837
955	139492	1319636
956	139740	1320452
957	139985	1321241
958	140188	1321630
959	140438	1322459
960	140661	1323037
961	140871	1323488
962	141030	1323459
963	141216	1323680
964	141385	1323747
965	141531	1323598
966	141757	1324191
967	141905	1324056
968	142067	1324059
969	142262	1324356
970	142422	1324334
971	142564	1324145
972	142761	1324471
973	142960	1324803
974	143126	1324835
975	143275	1324714
976	143464	1324954
977	143601	1324720
978	143751	1324598
979	143999	1325386
980	144131	1325094
981	144232	1324525
982	144397	1324552
983	144591	1324830
984	144779	1325063
985	144926	1324920
986	145147	1325447
987	145263	1325013
988	145405	1324819
989	145525	1324431
990	145741	1324912
991	145902	1324892
992	146049	1324741
993	146264	1325208
994	146417	1325118
995	146592	1325220
996	146779	1325432
997	147060	1326493
998	147251	1326734
999	147486	1327374
1000	147651	1327384
1001	147851	1327713
1002	148107	1328535
1003	148317	1328944
1004	148594	1329958
1005	148761	1329985
1006	148934	1330060
1007	149122	1330269
1008	149284	1330242
1009	149508	1330775
1010	149735	1331323
1011	149926	1331564
1012	150125	1331865
1013	150253	1331537
1014	150470	1331997
1015	150658	1332204
1016	150857	1332496
1017	151100	1333187
1018	151248	1333038
1019	151420	1333095
1020	151601	1333228
1021	151789	1333430
1022	151907	1333015
1023	152131	1333527
1024	152268	1333277
1025	152387	1332868
1026	152559	1332928
1027	152735	1333018
1028	152879	1332827
1029	152995	1332396
1030	153140	1332214
1031	153385	1332911
1032	153539	1332807
1033	153712	1332866
1034	153910	1333150
1035	154090	1333266
1036	154224	1332995
1037	154381	1332919
1038	154608	1333438
1039	154774	1333443
1040	154898	1333083
1041	155068	1333109
1042	155285	1333549
1043	155435	1333407
1044	155848	1335525
1045	156030	1335653
1046	156198	1335667
1047	156356	1335598
1048	156510	1335487
1049	156802	1336555
1050	157080	1337500
1051	157257	1337586
1052	157432	1337655
1053	157632	1337934
1054	157810	1338026
1055	157959	1337873
1056	158128	1337880
1057	158356	1338396
1058	158542	1338554
1059	158690	1338386
1060	158883	1338600
1061	159071	1338774
1062	159241	1338800
1063	159484	1339433
1064	159671	1339589
1065	159921	1340278
1066	160133	1340645
1067	160328	1340877
1068	160595	1341698
1069	160789	1341919
1070	160978	1342091
1071	161146	1342089
1072	161342	1342317
1073	161510	1342311
1074	161662	1342172
1075	161848	1342316
1076	162010	1342265
1077	162154	1342064
1078	162330	1342126
1079	162498	1342116
1080	162662	1342078
1081	162908	1342719
1082	163066	1342626
1083	163219	1342493
1084	163377	1342407
1085	163549	1342434
1086	163731	1342541
1087	163906	1342588
1088	164137	1343093
1089	164282	1342895
1090	164441	1342812
1091	164600	1342733
1092	164748	1342553
1093	164926	1342629
1094	165101	1342674
1095	165326	1343125
1096	165454	1342794
1097	165590	1342516
1098	165778	1342669
1099	165993	1343037
1100	166207	1343400
1101	166477	1344203
1102	166705	1344678
1103	166926	1345085
1104	167149	1345513
1105	167519	1347119
1106	167930	1349053
1107	168138	1349355
1108	168318	1349433
1109	168506	1349567
1110	168702	1349769
1111	168877	1349804
1112	169104	1350253
1113	169301	1350463
1114	169491	1350614
1115	169712	1351011
1116	169867	1350879
1117	170021	1350745
1118	170390	1352316
1119	170659	1353087
1120	170858	1353303
1121	171136	1354147
1122	171570	1356214
1123	171973	1358043
1124	172280	1359104
1125	172549	1359859
1126	172812	1360572
1127	173050	1361084
1128	173259	1361371
1129	173445	1361473
1130	173633	1361589
1131	173823	1361717
1132	174137	1362820
1133	174392	1363460
1134	174543	1363283
1135	174747	1363522
1136	175152	1365323
1137	175521	1366843
1138	175790	1367582
1139	176080	1368484
1140	176341	1369157
1141	176588	1369719
1142	176795	1369975
1143	176956	1369863
1144	177158	1370079
1145	177353	1370230
1146	177504	1370047
1147	177623	1369617
1148	177832	1369885
1149	177951	1369453
1150	178114	1369358
1151	178303	1369467
1152	178508	1369703
1153	178718	1369967
1154	178982	1370646
1155	179163	1370694
1156	179342	1370724
1157	179532	1370837
1158	179774	1371346
1159	179954	1371373
1160	180245	1372259
1161	180431	1372338
1162	180579	1372121
1163	180803	1372488
1164	181013	1372753
1165	181170	1372611
1166	181655	1374946
1167	181900	1375468
1168	182123	1375821
1169	182283	1375693
1170	182428	1375457
1171	182646	1375774
1172	182898	1376336
1173	183168	1377041
1174	183385	1377338
1175	183613	1377726
1176	183827	1378003
1177	184037	1378249
1178	184214	1378245
1179	184413	1378413
1180	184661	1378939
1181	184880	1379249
1182	185146	1379912
1183	185299	1379733
1184	185448	1379515
1185	185642	1379641
1186	185792	1379434
1187	185943	1379236
1188	186097	1379065
1189	186298	1379237
1190	186485	1379300
1191	186665	1379319
1192	186884	1379621
1193	187036	1379435
1194	187184	1379211
1195	187447	1379840
1196	187584	1379538
1197	187722	1379240
1198	187877	1379075
1199	188060	1379109
1200	188202	1378843
1201	188339	1378546
1202	188542	1378723
1203	188740	1378868
1204	188897	1378713
1205	189052	1378547
1206	189248	1378673
1207	189440	1378778
1208	189581	1378506
1209	189838	1379076
1210	190011	1379033
1211	190154	1378777
1212	190324	1378715
1213	190456	1378375
1214	190586	1378030
1215	190770	1378066
1216	191016	1378548
1217	191193	1378540
1218	191366	1378500
1219	191575	1378718
1220	191764	1378787
1221	191981	1379063
1222	192337	1380335
1223	192490	1380145
1224	192676	1380195
1225	192853	1380177
1226	193083	1380541
1227	193413	1381611
1228	193613	1381758
1229	193803	1381836
1230	193989	1381878
1231	194184	1381984
1232	194400	1382244
1233	194875	1384344
1234	195042	1384250
1235	195206	1384132
1236	195388	1384147
1237	195622	1384524
1238	195815	1384619
1239	196081	1385221
1240	196271	1385284
1241	196424	1385096
1242	196642	1385353
1243	196821	1385346
1244	196974	1385151
1245	197116	1384878
1246	197397	1385580
1247	197544	1385346
1248	197702	1385185
1249	197922	1385460
1250	198148	1385770
1251	198438	1386532
1252	198599	1386395
1253	198732	1386054
1254	198879	1385820
1255	199056	1385790
1256	199218	1385657
1257	199367	1385426
1258	199517	1385213
1259	199747	1385549
1260	199866	1385120
1261	200002	1384800
1262	200124	1384390
1263	200317	1384471
1264	200470	1384278
1265	200612	1384007
1266	200875	1384565
1267	201037	1384432
1268	201190	1384237
1269	201328	1383936
1270	201503	1383890
1271	201667	1383766
1272	201807	1383481
1273	201975	1383390
1274	202206	1383726
1275	202343	1383422
1276	202521	1383392
1277	202716	1383487
1278	202964	1383936
1279	203135	1383863
1280	203381	1384298
1281	203538	1384128
1282	203670	1383783
1283	203868	1383894
1284	204060	1383956
1285	204175	1383506
1286	204411	1383867
1287	204551	1383583
1288	204686	1383262
1289	204855	1383171
1290	205037	1383170
1291	205225	1383207
1292	205373	1382976
1293	205639	1383536
1294	205784	1383286
1295	205924	1382998
1296	206130	1383159
1297	206321	1383210
1298	206492	1383133
1299	206653	1382986
1300	207032	1384297
1301	207168	1383988
1302	207303	1383666
1303	207449	1383418
1304	207633	1383427
1305	207765	1383087
1306	207905	1382803
1307	208175	1383379
1308	208335	1383226
1309	208512	1383188
1310	208679	1383081
1311	208900	1383327
1312	209077	1383286
1313	209364	1383975
1314	209520	1383793
1315	209655	1383468
1316	209814	1383310
1317	210000	1383325
1318	210207	1383483
1319	210397	1383520
1320	210711	1384378
1321	210920	1384542
1322	211085	1384420
1323	211302	1384635
1324	211496	1384701
1325	211648	1384492
1326	211924	1385095
1327	212093	1384996
1328	212261	1384889
1329	212459	1384980
1330	212701	1385354
1331	212972	1385921
1332	213180	1386071
1333	213333	1385871
1334	213472	1385574
1335	213648	1385515
1336	213816	1385411
1337	213996	1385376
1338	214255	1385859
1339	214414	1385691
1340	214558	1385428
1341	214733	1385369
1342	214926	1385419
1343	215063	1385109
1344	215209	1384862
1345	215443	1385175
1346	215590	1384930
1347	215737	1384688
1348	215911	1384615
1349	216133	1384854
1350	216270	1384550
1351	216413	1384277
1352	216688	1384851
1353	216869	1384826
1354	216995	1384444
1355	217205	1384603
1356	217356	1384386
1357	217479	1383992
1358	217838	1385093
1359	218025	1385102
1360	218158	1384768
1361	218295	1384460
1362	218480	1384458
1363	218691	1384617
1364	218877	1384621
1365	219114	1384946
1366	219283	1384841
1367	219417	1384512
1368	219574	1384327
1369	219764	1384353
1370	219906	1384078
1371	220057	1383860
1372	220303	1384237
1373	220459	1384051
1374	220578	1383626
1375	220697	1383209
1376	220861	1383072
1377	221068	1383203
1378	221205	1382893
1379	221394	1382913
1380	221641	1383290
1381	221787	1383044
1382	221946	1382870
1383	222136	1382897
1384	222355	1383102
1385	222490	1382779
1386	222777	1383406
1387	222879	1382880
1388	223019	1382593
1389	223166	1382347
1390	223318	1382135
1391	223470	1381922
1392	223625	1381724
1393	223841	1381905
1394	224035	1381952
1395	224166	1381608
1396	224280	1381163
1397	224434	1380960
1398	224640	1381082
1399	224798	1380906
1400	224955	1380720
1401	225188	1381004
1402	225319	1380664
1403	225480	1380504
1404	225650	1380405
1405	225864	1380570
1406	225998	1380246
1407	226170	1380153
1408	226392	1380368
1409	226515	1379979
1410	226657	1379702
1411	226795	1379402
1412	227021	1379640
1413	227176	1379445
1414	227323	1379201
1415	227581	1379631
1416	227757	1379564
1417	227894	1379261
1418	228083	1379267
1419	228260	1379207
1420	228364	1378704
1421	228668	1379409
1422	228909	1379729
